rank_overall,rank_within_layer,layer,measurement,measurement_label,site,archetype,literature_status,peak_timepoint,days_from_launch,peak_abs_z,peak_z_ci_lower_abs,peak_z_ci_high,z_score_robust,methods_concordance,is_baseline_fragile,fragility_reason,concordance_class,signal_score,clinical_flagged_count,deviation_flag,deviation_direction,fold_change,recovery_classification,return_to_baseline_day,recovery_velocity
1,1,microbial,K05565,multicomponent Na+:H+ antiporter subunit A,NAC,,novel,R+1,1,235.76265401155237,204.89012121774155,-204.89012121774155,-191.84591433041444,both-elevated,False,,ambiguous,163.91209697419325,0,extreme,down,0.0,incomplete,,1.964170852289051
2,1,microbial,K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",ORC,,novel,R+82,82,173.77608613453393,160.7686812694282,-160.7686812694282,-377.3822797488249,both-elevated,False,,idiosyncratic,160.7686812694282,0,extreme,down,0.0,incomplete,,
3,2,microbial,K21498,antitoxin HigA-1,NAC,,novel,R+1,1,220.5267038027825,190.74811615938484,-190.74811615938484,-154.52568192383762,both-elevated,False,,ambiguous,152.59849292750786,0,extreme,down,0.0,incomplete,,1.8890798141865417
4,3,microbial,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],NAC,,novel,R+1,1,158.99301676514054,146.72460803324714,-146.72460803324714,-318.03748119374603,both-elevated,False,,ambiguous,117.37968642659771,0,extreme,down,0.0,incomplete,,0.8763579122429866
5,4,microbial,K17898,"D-ornithine 4,5-aminomutase subunit beta [EC:5.4.3.5]",NAC,,novel,R+1,1,123.843494589107,121.56451867318928,-121.56451867318928,-1684.630860977295,both-elevated,True,unstable-ci,ambiguous,97.25161493855144,0,extreme,down,0.0,incomplete,,0.0
6,5,microbial,K09117,uncharacterized protein,NAC,,novel,R+1,1,119.37349247938104,118.64278525636394,-118.64278525636394,-3757.865504319997,both-elevated,True,unstable-ci,ambiguous,94.91422820509116,0,extreme,down,0.0,incomplete,,0.6456005197358836
7,2,microbial,K03723,transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-],ORC,,novel,R+1,1,105.08485458827516,91.23714875616788,-91.23714875616788,-86.36941108356086,both-elevated,False,,idiosyncratic,91.23714875616788,0,extreme,down,0.0,incomplete,,0.0
8,6,microbial,K21400,2-amino-4-ketopentanoate thiolase beta subunit [EC:2.3.1.263],NAC,,novel,R+1,1,124.3305746475174,108.02254961514292,-108.02254961514292,-102.83597299505229,both-elevated,False,,ambiguous,86.41803969211435,0,extreme,down,0.0,incomplete,,1.0859293791275624
9,7,microbial,K05567,multicomponent Na+:H+ antiporter subunit C,NAC,,novel,R+1,1,110.534992284448,102.73587488166592,-102.73587488166592,-268.09008506864734,both-elevated,False,,ambiguous,82.18869990533274,0,extreme,down,0.0,incomplete,,0.6054833600476053
10,8,microbial,K06196,cytochrome c-type biogenesis protein,NAC,,novel,R+1,1,107.90682114738836,95.83188241581716,-95.83188241581716,-125.9085872016093,both-elevated,False,,ambiguous,76.66550593265373,0,extreme,down,0.0,incomplete,,0.8680444225097803
11,3,microbial,K20074,PPM family protein phosphatase [EC:3.1.3.16],ORC,,novel,R+1,1,77.0714565451992,74.0815428889038,-74.0815428889038,-351.6273862121046,both-elevated,True,unstable-ci,idiosyncratic,74.0815428889038,0,extreme,down,0.0,incomplete,,0.0
12,9,microbial,K00124,formate dehydrogenase iron-sulfur subunit,NAC,,novel,R+1,1,95.64387804647517,84.78609717576232,-84.78609717576232,-109.14610586290482,both-elevated,False,,ambiguous,67.82887774060985,0,extreme,down,0.0,incomplete,,0.463557003733602
13,4,microbial,K21570,putidaredoxin---NAD+ reductase [EC:1.18.1.5],ORC,,novel,R+1,1,60.848167033174974,55.30321023198944,-55.30321023198944,-98.6555546736629,both-elevated,False,,concordant,66.36385227838733,0,extreme,down,0.0,incomplete,,0.0
14,5,microbial,K17836,beta-lactamase class A [EC:3.5.2.6],ORC,,novel,R+1,1,57.12500362176529,55.14656069961253,-55.14656069961253,-419.2851542452537,both-elevated,True,unstable-ci,concordant,66.17587283953503,0,extreme,down,0.0,incomplete,,0.0
15,6,microbial,K02530,"DeoR family transcriptional regulator, lactose phosphotransferase system repressor",ORC,,novel,R+1,1,91.25390055013985,81.29321014683421,-81.29321014683421,-117.21927035000218,both-elevated,False,,ambiguous,65.03456811746737,0,extreme,down,0.0,incomplete,,0.0
16,10,microbial,K24305,"UDP-2-acetamido-4-(D-alanylamino)-2,4,6-trideoxy-alpha-D-mannopyranose hydrolase",NAC,,novel,R+1,1,90.0734092651078,79.9079204703461,-79.9079204703461,-104.01495226148191,both-elevated,False,,ambiguous,63.92633637627688,0,extreme,down,0.0983007264070321,incomplete,,0.4466181217315536
17,11,microbial,K03687,molecular chaperone GrpE,NAC,,novel,R+1,1,89.37015750123514,77.12709303006535,-77.12709303006535,-62.057705001690344,both-elevated,False,,ambiguous,61.701674424052285,0,extreme,down,0.0,incomplete,,0.6554149525801564
18,12,microbial,K01740,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],NAC,,novel,R+1,1,87.04044510801123,76.89836747414529,-76.89836747414529,-95.03048382029185,both-elevated,False,,ambiguous,61.51869397931623,0,extreme,down,0.0,incomplete,,0.6126834147586331
19,7,microbial,K19084,bacitracin transport system permease protein,ORC,,novel,R+1,1,83.95585905293623,76.69190169619041,-76.69190169619041,-145.25697600198575,both-elevated,False,,ambiguous,61.353521356952335,0,extreme,down,0.0,incomplete,,0.0
20,13,microbial,K02948,small subunit ribosomal protein S11,NAC,,novel,R+1,1,80.79700877304208,75.66337064502864,-75.66337064502864,-233.7504527786589,both-elevated,False,,ambiguous,60.530696516022914,0,extreme,down,0.1099113145442895,incomplete,,0.2760697527838471
21,8,microbial,K01956,carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],ORC,,novel,R+45,45,48.362813381822384,47.83491291238056,-47.83491291238056,-849.930216840001,both-elevated,True,unstable-ci,concordant,57.40189549485667,0,extreme,down,0.0,incomplete,,0.0
22,9,microbial,K08161,"MFS transporter, DHA1 family, multidrug resistance protein",ORC,,novel,R+1,1,48.72547985854184,43.91918791436298,-43.91918791436298,-70.99114456654459,both-elevated,False,,concordant,52.70302549723557,0,extreme,down,0.0,incomplete,,0.0
23,14,microbial,K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],NAC,,novel,R+1,1,65.89597529717994,58.753851540592585,-58.753851540592585,-82.19450593621869,both-elevated,False,,ambiguous,47.003081232474074,0,extreme,down,0.0,incomplete,,0.3448313286717253
24,10,microbial,K15772,arabinogalactan oligomer / maltooligosaccharide transport system permease protein,ORC,,novel,R+1,1,53.88969390548824,46.61815147369946,-46.61815147369946,-43.216917756115706,both-elevated,False,,idiosyncratic,46.61815147369946,0,extreme,down,0.0,incomplete,,0.0
25,11,microbial,K16899,ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12],ORC,,novel,R+1,1,39.920537207518976,38.332553809327294,-38.332553809327294,-281.48795626226877,both-elevated,True,unstable-ci,concordant,45.999064571192754,0,extreme,down,0.0,incomplete,,0.0
26,15,microbial,K00108,choline dehydrogenase [EC:1.1.99.1],NAC,,novel,R+1,1,63.253725656734126,57.36517411400346,-57.36517411400346,-99.40998024306103,both-elevated,False,,ambiguous,45.89213929120277,0,extreme,down,0.0,incomplete,,0.3576644876638595
27,16,microbial,K08256,phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345],NAC,,novel,R+1,1,65.28081365319032,56.71672173586094,-56.71672173586094,-58.625216654513075,both-elevated,False,,ambiguous,45.37337738868876,0,extreme,down,0.0,incomplete,,0.0
28,17,microbial,K01372,bleomycin hydrolase [EC:3.4.22.40],NAC,,novel,R+1,1,57.01171379173631,56.389120165519394,-56.389120165519394,-13814.836539998558,both-elevated,True,unstable-ci,ambiguous,45.11129613241552,0,extreme,down,0.0,incomplete,,0.3928250025549044
29,12,microbial,K08744,cardiolipin synthase (CMP-forming) [EC:2.7.8.41],ORC,,novel,R+1,1,51.1420485903049,45.04251893170295,-45.04251893170295,-54.63778442301344,both-elevated,False,,idiosyncratic,45.04251893170295,0,extreme,down,0.0,incomplete,,0.0
30,13,microbial,K02824,uracil permease,ORC,,novel,R+1,1,42.49573017264717,37.456611030156694,-37.456611030156694,-51.128270846713775,both-elevated,False,,concordant,44.94793323618803,0,extreme,down,0.0,incomplete,,0.0
31,14,microbial,K01938,formate--tetrahydrofolate ligase [EC:6.3.4.3],ORC,,novel,R+1,1,59.42594038604134,55.93478717631753,-55.93478717631753,-201.93353845303037,both-elevated,False,,ambiguous,44.747829741054026,0,extreme,down,0.0,incomplete,,0.0
32,15,microbial,K17318,putative aldouronate transport system substrate-binding protein,ORC,,novel,R+1,1,62.33697422580848,55.44227223470402,-55.44227223470402,-75.34828761901461,both-elevated,False,,ambiguous,44.35381778776322,0,extreme,down,0.0,incomplete,,0.0
33,16,microbial,K12410,NAD-dependent deacetylase [EC:2.3.1.286],ORC,,novel,R+1,1,43.93176121250448,42.818503111487985,-42.818503111487985,-669.1253760390375,both-elevated,True,unstable-ci,idiosyncratic,42.818503111487985,0,extreme,down,0.0,incomplete,,0.0
34,18,microbial,K21158,serine/threonine-protein kinase TOS3 [EC:2.7.11.1],NAC,,novel,R+45,45,53.24688844017433,53.221037297539326,-53.221037297539326,-21556.272214474677,both-elevated,True,unstable-ci,ambiguous,42.576829838031465,0,extreme,down,0.1009388459448541,incomplete,,0.562843795942182
35,17,microbial,K03495,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,ORC,,novel,R+1,1,38.6553801133286,34.98994321594017,-34.98994321594017,-60.148952146692196,both-elevated,False,,concordant,41.9879318591282,0,extreme,down,0.0,incomplete,,0.0
36,19,microbial,K14743,membrane-anchored mycosin MYCP [EC:3.4.21.-],NAC,,novel,R+1,1,60.07872657168262,51.73890573386691,-51.73890573386691,-40.97753773206504,both-elevated,False,,ambiguous,41.39112458709353,0,extreme,down,0.0,incomplete,,0.0
37,20,microbial,K03453,"bile acid:Na+ symporter, BASS family",NAC,,novel,R+1,1,57.40326657340363,51.404417014404345,-51.404417014404345,-76.21787658399279,both-elevated,False,,ambiguous,41.12353361152348,0,extreme,down,0.0,incomplete,,0.3051544047027243
38,21,microbial,K01754,threonine dehydratase [EC:4.3.1.19],NAC,,novel,R+1,1,53.034340008215,50.5989912270567,-50.5989912270567,-201.18019148686795,both-elevated,False,,ambiguous,40.47919298164536,0,extreme,down,0.0,incomplete,,0.3225610456629976
39,22,microbial,K07146,UPF0176 protein,NAC,,novel,R+1,1,52.0235543826522,49.18886496322104,-49.18886496322104,-162.04993714383784,both-elevated,False,,ambiguous,39.35109197057683,0,extreme,down,0.0,incomplete,,0.313899164222392
40,23,microbial,K01008,"selenide, water dikinase [EC:2.7.9.3]",NAC,,novel,R+1,1,53.39015035496983,48.0303708491819,-48.0303708491819,-75.54833816308148,both-elevated,False,,ambiguous,38.42429667934552,0,extreme,down,0.0,incomplete,,0.4257043233269706
41,18,microbial,K22927,cyclic-di-AMP phosphodiesterase [EC:3.1.4.59],ORC,,novel,R+1,1,34.596839634079146,31.934491974824287,-31.934491974824287,-90.52645105526949,both-elevated,False,,concordant,38.32139036978914,0,extreme,down,0.0,incomplete,,0.0
42,19,microbial,K02821,ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194],ORC,,novel,R+1,1,39.41844810522653,38.31532350336911,-38.31532350336911,-546.3063195670804,both-elevated,True,unstable-ci,idiosyncratic,38.31532350336911,0,extreme,down,0.0,incomplete,,0.0
43,24,microbial,K07030,fatty acid kinase [EC:2.7.2.18],NAC,,novel,R+1,1,51.62025179521159,47.57615958492537,-47.57615958492537,-103.01154039937093,both-elevated,False,,ambiguous,38.0609276679403,0,extreme,down,0.0,incomplete,,0.0
44,25,microbial,K03325,arsenite transporter,NAC,,novel,R+1,1,54.68480098007103,47.11947349970264,-47.11947349970264,-39.36733749318545,both-elevated,False,,ambiguous,37.69557879976211,0,extreme,down,0.0,incomplete,,0.3520783635768408
45,20,microbial,K03705,heat-inducible transcriptional repressor,ORC,,novel,R+1,1,31.510801425714657,31.20465902147445,-31.20465902147445,-628.1380325801842,both-elevated,True,unstable-ci,concordant,37.44559082576934,0,extreme,down,0.0,incomplete,,0.0
46,21,microbial,K00625,phosphate acetyltransferase [EC:2.3.1.8],ORC,,novel,R+1,1,31.08961770010593,30.79224828914991,-30.79224828914991,-629.8831626320757,both-elevated,True,unstable-ci,concordant,36.95069794697989,0,extreme,down,0.0,incomplete,,0.0
47,22,microbial,K00941,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7],ORC,,novel,R+1,1,32.67774852496696,30.506148246120055,-30.506148246120055,-110.07573255011731,both-elevated,False,,concordant,36.607377895344065,0,extreme,down,0.0,incomplete,,0.0
48,23,microbial,K02956,small subunit ribosomal protein S15,ORC,,novel,R+82,82,39.34059763446673,36.45238182504929,-36.45238182504929,-85.95520985876543,both-elevated,False,,idiosyncratic,36.45238182504929,0,extreme,down,0.0,incomplete,,
49,24,microbial,K09014,Fe-S cluster assembly protein SufB,ORC,,novel,R+1,1,32.84253960748445,30.08791286581741,-30.08791286581741,-60.82695633843677,both-elevated,False,,concordant,36.105495438980896,0,extreme,down,0.0,incomplete,,0.0
50,26,microbial,K02361,isochorismate synthase [EC:5.4.4.2],NAC,,novel,R+1,1,50.75027710519938,44.92777974785666,-44.92777974785666,-63.34796544012334,both-elevated,False,,ambiguous,35.94222379828533,0,extreme,down,0.0,incomplete,,0.2769516703084997
51,1,immune,il_6,IL-6,,acute_phase_response,confirmed,R+1,1,31.509927979449465,29.88224480833428,270.81525533852323,105.68500870342196,both-elevated,False,,concordant,35.85869377000114,0,extreme,up,2.8970775095298604,incomplete,,0.0449004535543736
52,25,microbial,K03798,cell division protease FtsH [EC:3.4.24.-],ORC,,novel,R+1,1,51.99179945255033,44.81243314643642,-44.81243314643642,-40.05699266485611,both-elevated,False,,ambiguous,35.849946517149135,0,extreme,down,0.0,incomplete,,0.0
53,27,microbial,K07768,"two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]",NAC,,novel,R+1,1,48.8044336751906,44.74736397880112,-44.74736397880112,-104.33131638299601,both-elevated,False,,ambiguous,35.797891183040896,0,extreme,down,0.0,incomplete,,0.3972380186477295
54,28,microbial,K03635,molybdopterin synthase catalytic subunit [EC:2.8.1.12],NAC,,novel,R+1,1,32.36720422402049,29.518567308948377,-29.518567308948377,-56.25155823962697,both-elevated,False,,concordant,35.42228077073805,0,extreme,down,0.0324884023506779,incomplete,,0.2178747789526497
55,29,microbial,K01304,pyroglutamyl-peptidase [EC:3.4.19.3],NAC,,novel,R+1,1,47.14034911698144,43.97000590195728,-43.97000590195728,-139.13101322101065,both-elevated,False,,ambiguous,35.176004721565825,0,extreme,down,0.0,incomplete,,0.3070558874302859
56,30,microbial,K21672,"2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]",NAC,,novel,R+1,1,49.18165850793926,43.71404669131004,-43.71404669131004,-65.37280207461299,both-elevated,False,,ambiguous,34.97123735304803,0,extreme,down,0.0,incomplete,,0.3557783569842799
57,26,microbial,K02073,D-methionine transport system substrate-binding protein,ORC,,novel,R+1,1,30.910898699020777,28.901859148161687,-28.901859148161687,-110.44668393297901,both-elevated,False,,concordant,34.68223097779402,0,extreme,down,0.0,incomplete,,0.0
58,31,microbial,K01448,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],NAC,,novel,R+1,1,46.33815620061656,42.741291600944024,-42.741291600944024,-93.85205095000052,both-elevated,False,,ambiguous,34.19303328075522,0,extreme,down,0.0,incomplete,,0.3440488418554419
59,27,microbial,K01834,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",ORC,,novel,R+82,82,35.44210372218828,33.89390228691115,-33.89390228691115,-143.43025498979208,both-elevated,False,,idiosyncratic,33.89390228691115,0,extreme,down,0.0,incomplete,,
60,28,microbial,K02899,large subunit ribosomal protein L27,ORC,,novel,R+82,82,39.31909108920009,33.75930586216631,-33.75930586216631,-27.01396238732847,both-elevated,False,,idiosyncratic,33.75930586216631,0,extreme,down,0.0,incomplete,,
61,32,microbial,K12706,novobiocin biosynthesis protein NovC,NAC,,novel,R+1,1,46.1232236718281,41.85978753323048,-41.85978753323048,-73.90690861380597,both-elevated,False,,ambiguous,33.48783002658438,0,extreme,down,0.0,incomplete,,0.5210435972218607
62,33,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,,novel,R+1,1,48.41787782399942,41.65763631949089,-41.65763631949089,-33.67073982274867,both-elevated,False,,ambiguous,33.32610905559272,0,extreme,down,0.1399431676317072,incomplete,,0.1619822773319366
63,29,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,,novel,R+1,1,31.96389604824648,27.51898177683331,-27.51898177683331,-27.238631135780295,both-elevated,False,,concordant,33.022778132199974,0,extreme,down,0.0,incomplete,,0.0
64,34,microbial,K20155,4-methylaminobutanoate oxidase (methylamine-forming) [EC:1.5.3.21],NAC,,novel,R+1,1,45.097792566743955,41.09051104748114,-41.09051104748114,-88.31153702579073,both-elevated,False,,ambiguous,32.87240883798491,0,extreme,down,0.0,incomplete,,0.3827506793400831
65,35,microbial,K01087,trehalose 6-phosphate phosphatase [EC:3.1.3.12],NAC,,novel,R+1,1,46.27739994407322,41.07423125467121,-41.07423125467121,-60.81249667510429,both-elevated,False,,ambiguous,32.85938500373697,0,extreme,down,0.0,incomplete,,0.2298518595625762
66,36,microbial,K00790,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],NAC,,novel,R+1,1,43.494350812696304,41.04917998719086,-41.04917998719086,-171.21475348579204,both-elevated,False,,ambiguous,32.83934398975269,0,extreme,down,0.0,incomplete,,0.3282857427480627
67,30,microbial,K12143,hydrogenase-4 component H,ORC,,novel,R+1,1,47.53127177928089,41.045846864154704,-41.045846864154704,-37.257124248118124,both-elevated,False,,ambiguous,32.83667749132376,0,extreme,down,0.0,incomplete,,0.0
68,37,microbial,K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",NAC,,novel,R+1,1,45.03237330117437,40.52202482539993,-40.52202482539993,-64.33704186538309,both-elevated,False,,ambiguous,32.417619860319945,0,extreme,down,0.0,incomplete,,0.0
69,38,microbial,K03312,"glutamate:Na+ symporter, ESS family",NAC,,novel,R+1,1,44.36818220206207,40.04256391128892,-40.04256391128892,-75.12096241619903,both-elevated,False,,ambiguous,32.03405112903114,0,extreme,down,0.0,incomplete,,0.3470817830959629
70,39,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,,novel,R+1,1,46.30143255606112,39.87656515647176,-39.87656515647176,-35.81148402450676,both-elevated,False,,ambiguous,31.90125212517741,0,extreme,down,0.0,incomplete,,0.4404639981753146
71,40,microbial,K01918,pantoate--beta-alanine ligase [EC:6.3.2.1],NAC,,novel,R+1,1,44.432124302080354,39.61039673431136,-39.61039673431136,-62.66929819157853,both-elevated,False,,ambiguous,31.68831738744909,0,extreme,down,0.0,incomplete,,0.3764471644575761
72,41,microbial,K06994,putative drug exporter of the RND superfamily,NAC,,novel,R+1,1,43.67509614429681,39.32707029641338,-39.32707029641338,-71.64046349413478,both-elevated,False,,ambiguous,31.461656237130708,0,extreme,down,0.0,incomplete,,0.1784660243908869
73,42,microbial,K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],NAC,,novel,R+1,1,43.46929721716022,39.27736200088129,-39.27736200088129,-75.20928027628872,both-elevated,False,,ambiguous,31.421889600705033,0,extreme,down,0.0,incomplete,,0.0
74,43,microbial,K05522,endonuclease VIII [EC:3.2.2.- 4.2.99.18],NAC,,novel,R+1,1,42.75869414418322,38.90607522430869,-38.90607522430869,-82.78247117372416,both-elevated,False,,ambiguous,31.12486017944695,0,extreme,down,0.0,incomplete,,0.3378517844947682
75,44,microbial,K14059,integrase,NAC,,novel,R+1,1,39.76093620487192,38.1526339153015,-38.1526339153015,-174.92797213756631,both-elevated,True,unstable-ci,ambiguous,30.522107132241203,0,extreme,down,0.0,incomplete,,0.0
76,31,microbial,K05592,ATP-dependent RNA helicase DeaD [EC:3.6.4.13],ORC,,novel,R+1,1,41.05326829540979,38.0621623170112,-38.0621623170112,-90.4459274537132,both-elevated,False,,ambiguous,30.44972985360896,0,extreme,down,0.0,incomplete,,0.0
77,45,microbial,K07386,putative endopeptidase [EC:3.4.24.-],NAC,,novel,R+1,1,38.449550121615275,37.96925708542187,-37.96925708542187,-590.0833537720274,both-elevated,True,unstable-ci,ambiguous,30.3754056683375,0,extreme,down,0.0,incomplete,,0.2941630737634402
78,32,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,,novel,R+82,82,33.98185911687727,30.191777702901323,-30.191777702901323,-48.019742883138036,both-elevated,False,,idiosyncratic,30.191777702901323,0,extreme,down,0.0,incomplete,,
79,46,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,,novel,R+82,82,43.61143689084935,37.603572907979846,-37.603572907979846,-33.41213684771794,both-elevated,False,,ambiguous,30.08285832638388,0,extreme,down,0.0,incomplete,,
80,33,microbial,K00820,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],ORC,,novel,R+82,82,32.220715476722184,29.84726721781865,-29.84726721781865,-92.52367302246563,both-elevated,False,,idiosyncratic,29.84726721781865,0,extreme,down,0.0,incomplete,,
81,47,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,,novel,R+1,1,42.26991456584116,37.06017665371353,-37.06017665371353,-42.908832022641214,both-elevated,False,,ambiguous,29.64814132297083,0,extreme,down,0.0,incomplete,,0.3534576933808844
82,34,microbial,K22890,HIV-1 protein Vpu,ORC,,novel,R+1,1,38.53738269105608,36.71465712065139,-36.71465712065139,-142.25095599930742,both-elevated,False,,ambiguous,29.37172569652111,0,extreme,down,0.0,incomplete,,0.0
83,48,microbial,K15993,O-mycaminosyltylonolide 6-deoxyallosyltransferase [EC:2.4.1.317],NAC,,novel,R+1,1,39.72798163726366,36.65424624783748,-36.65424624783748,-81.17253246416651,both-elevated,False,,ambiguous,29.323396998269985,0,extreme,down,0.0,incomplete,,0.0
84,49,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,,novel,R+1,1,42.43644298289384,36.526400888735736,-36.526400888735736,-31.153303911427447,both-elevated,False,,ambiguous,29.22112071098859,0,extreme,down,0.0,incomplete,,0.0
85,35,microbial,K19082,"two-component system, OmpR family, response regulator protein BraR/BceR",ORC,,novel,R+1,1,32.28136665690752,28.93614799447158,-28.93614799447158,-52.72134444054877,both-elevated,False,,idiosyncratic,28.93614799447158,0,extreme,down,0.0,incomplete,,0.0
86,36,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,,novel,R+1,1,32.995372232438584,28.58850643641611,-28.58850643641611,-28.783710379627152,both-elevated,False,,idiosyncratic,28.58850643641611,0,extreme,down,0.0,incomplete,,0.0
87,37,microbial,K03786,3-dehydroquinate dehydratase II [EC:4.2.1.10],ORC,,novel,R+1,1,24.799831077671943,23.782271574813084,-23.782271574813084,-108.72023045808842,both-elevated,True,unstable-ci,concordant,28.5387258897757,0,extreme,down,0.0,incomplete,,0.0
88,50,microbial,K02965,small subunit ribosomal protein S19,NAC,,novel,R+1,1,25.377933341662107,23.77073176846871,-23.77073176846871,-104.84446324614153,both-elevated,False,,concordant,28.524878122162452,0,extreme,down,0.061642252339409,incomplete,,0.1575109513716403
89,38,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,,novel,R+82,82,32.76765404133022,28.259562339772597,-28.259562339772597,-26.40222432825728,both-elevated,False,,idiosyncratic,28.259562339772597,0,extreme,down,0.0,incomplete,,
90,39,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,,novel,R+1,1,26.332819036211443,23.384015786210433,-23.384015786210433,-32.658369451640105,both-elevated,False,,concordant,28.06081894345252,0,extreme,down,0.0,incomplete,,0.0
91,51,microbial,K06986,uncharacterized protein,NAC,,novel,R+1,1,36.746604877994315,34.64810466803294,-34.64810466803294,-150.22238878959251,both-elevated,False,,ambiguous,27.718483734426357,0,extreme,down,0.0,incomplete,,0.267227430358832
92,52,microbial,K01082,"3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]",NAC,,novel,R+1,1,37.768122187329986,34.61246120046239,-34.61246120046239,-84.71111607879787,both-elevated,False,,ambiguous,27.689968960369914,0,extreme,down,0.0,incomplete,,0.2577832675082553
93,40,microbial,K09787,uncharacterized protein,ORC,,novel,R+1,1,29.361584596724803,27.66171325585689,-27.66171325585689,-86.4207894986695,both-elevated,False,,idiosyncratic,27.66171325585689,0,extreme,down,0.0,incomplete,,0.0
94,41,microbial,K18354,vancomycin resistance protein VanK,ORC,,novel,R+82,82,32.212826859698026,27.609259027567017,-27.609259027567017,-23.279916673105287,both-elevated,False,,idiosyncratic,27.609259027567017,0,extreme,down,0.0,incomplete,,
95,53,microbial,K03932,polyhydroxybutyrate depolymerase,NAC,,novel,R+1,1,34.5091146903747,34.11366839940081,-34.11366839940081,-579.8277892657925,both-elevated,True,unstable-ci,ambiguous,27.29093471952065,0,extreme,down,0.0,incomplete,,0.2012218524701129
96,42,microbial,K00520,mercuric reductase [EC:1.16.1.1],ORC,,novel,R+1,1,23.91623923356236,22.6512028568449,-22.6512028568449,-78.77296723783526,both-elevated,False,,concordant,27.18144342821388,0,extreme,down,0.0,incomplete,,0.0
97,54,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,,novel,R+1,1,38.76179298841704,33.736895378235,-33.736895378235,-38.94534358821172,both-elevated,False,,ambiguous,26.989516302588,0,extreme,down,0.0,incomplete,,0.2962065610516495
98,43,microbial,K10823,oligopeptide transport system ATP-binding protein,ORC,,novel,R+1,1,28.363262396320685,26.96519397947143,-26.96519397947143,-171.52653934695502,both-elevated,True,unstable-ci,idiosyncratic,26.96519397947143,0,extreme,down,0.0,incomplete,,0.0
99,44,microbial,K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],ORC,,novel,R+1,1,38.76545447319108,33.660238531235656,-33.660238531235656,-37.39462669250001,both-elevated,False,,ambiguous,26.928190824988526,0,extreme,down,0.0,incomplete,,0.0
100,55,microbial,K00389,putative membrane protein,NAC,,novel,R+1,1,37.64221036238136,33.646911206406955,-33.646911206406955,-56.934866839922776,both-elevated,False,,ambiguous,26.91752896512557,0,extreme,down,0.0,incomplete,,0.3058380065815019
101,56,microbial,K01512,acylphosphatase [EC:3.6.1.7],NAC,,novel,R+1,1,38.79780422197519,33.535418277413264,-33.535418277413264,-34.326152582242614,both-elevated,False,,ambiguous,26.828334621930612,0,extreme,down,0.0,incomplete,,0.3199009128052628
102,57,microbial,K02907,large subunit ribosomal protein L30,NAC,,novel,R+1,1,25.948859572531376,22.212982166265903,-22.212982166265903,-20.368860896929366,both-elevated,False,,concordant,26.655578599519085,0,extreme,down,0.0,incomplete,,0.2064054163647325
103,58,microbial,K03111,single-strand DNA-binding protein,NAC,,novel,R+1,1,23.039745869068348,22.13774299624944,-22.13774299624944,-297.5963769881381,both-elevated,True,unstable-ci,concordant,26.56529159549933,0,extreme,down,0.0485390457564687,incomplete,,0.1193319123203154
