rank_overall,rank_within_layer,layer,measurement,measurement_label,site,archetype,literature_status,peak_timepoint,days_from_launch,peak_abs_z,peak_z_ci_lower_abs,peak_z_ci_high,z_score_robust,methods_concordance,is_baseline_fragile,fragility_reason,concordance_class,signal_score,clinical_flagged_count,deviation_flag,deviation_direction,fold_change,recovery_classification,return_to_baseline_day,recovery_velocity
2353,1023,microbial,K22278,peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104],NAC,,novel,R+1,1,4.972862004504061,4.25574873377992,-4.25574873377992,-25.77564686546531,both-elevated,True,unstable-ci,concordant,5.106898480535904,0,extreme,down,0.0805266755726725,incomplete,,0.0172535846320587
2354,1319,microbial,K20373,"HTH-type transcriptional regulator, SHP2-responsive activator",ORC,,novel,R+1,1,6.961544123971839,6.3808914212692915,-6.3808914212692915,-2576.617999749732,both-elevated,True,unstable-ci,ambiguous,5.104713137015434,0,extreme,down,0.0,incomplete,,0.0
2355,1024,microbial,K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],NAC,,novel,R+1,1,7.2392011757599635,6.380448192327431,-6.380448192327431,-9.706223866200569,both-elevated,False,,ambiguous,5.104358553861945,0,extreme,down,0.0,incomplete,,0.0556428418296389
2356,1025,microbial,K07653,"two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]",NAC,,novel,R+1,1,7.241129023611599,6.380289612116417,-6.380289612116417,-27.774569493190995,both-elevated,False,,ambiguous,5.104231689693134,0,extreme,down,0.0,incomplete,,0.0522440298658362
2357,1026,microbial,K00760,hypoxanthine phosphoribosyltransferase [EC:2.4.2.8],NAC,,novel,R+1,1,7.16778329075006,6.376551131896418,-6.376551131896418,-10.60706450467121,both-elevated,False,,ambiguous,5.101240905517135,0,extreme,down,0.0405674507897574,incomplete,,0.0309559511315349
2358,1320,microbial,K11183,multiphosphoryl transfer protein [EC:2.7.1.202],ORC,,novel,R+1,1,6.965314665931366,6.375577935880223,-6.375577935880223,-14.443165931916234,both-elevated,False,,ambiguous,5.100462348704179,0,extreme,down,0.0,incomplete,,0.0
2359,1321,microbial,K03580,ATP-dependent helicase HepA [EC:3.6.4.-],ORC,,novel,R+1,1,6.472637465965135,6.374549102628704,-6.374549102628704,-86.96646272367262,both-elevated,True,unstable-ci,ambiguous,5.099639282102963,0,extreme,down,0.0,incomplete,,0.0
2360,1322,microbial,K01996,branched-chain amino acid transport system ATP-binding protein,ORC,,novel,R+1,1,6.487234328529674,6.371431269744441,-6.371431269744441,-73.63393093298981,both-elevated,True,unstable-ci,ambiguous,5.097145015795554,0,extreme,down,0.0,incomplete,,0.0
2361,1027,microbial,K03625,transcription antitermination protein NusB,NAC,,novel,R+1,1,7.1432955470564545,6.370341570681567,-6.370341570681567,-41.28232545240369,both-elevated,True,unstable-ci,ambiguous,5.0962732565452535,0,extreme,down,0.0,incomplete,,0.0603217135730295
2362,1028,microbial,K05881,phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121],NAC,,novel,R+45,45,7.482472663427723,6.368878533363338,-6.368878533363338,-12.960204526864123,both-elevated,False,,ambiguous,5.09510282669067,0,extreme,down,0.0,incomplete,,0.1215815356914932
2363,1323,microbial,K03593,ATP-binding protein involved in chromosome partitioning,ORC,,novel,R+82,82,6.227569815920891,5.093148580598821,-5.093148580598821,-6.05672659653351,both-elevated,False,,idiosyncratic,5.093148580598821,0,extreme,down,0.0,incomplete,,
2364,1324,microbial,K03720,"TrpR family transcriptional regulator, trp operon repressor",ORC,,novel,R+1,1,7.066932566276689,6.360516633321525,-6.360516633321525,-11.916066675731852,both-elevated,False,,ambiguous,5.08841330665722,0,extreme,down,0.0,incomplete,,0.0
